brind,startT,endT,commTime,commStart,commEnd
1016,2008-03-31 11:15:25,2008-03-31 11:31:07,,,
1016,,,2008-03-31 11:15:25,,
1016,,,2008-03-31 11:31:07,,
1084,2008-04-08 08:23:13,2008-04-08 10:51:39,,,
1084,,,2008-04-08 08:23:13,,
1084,,,2008-04-08 08:53:29,,
1084,,,2008-04-08 09:09:30,,
1084,,,,2008-04-08 09:42:14,2008-04-08 09:43:58
1084,,,,2008-04-08 10:02:03,2008-04-08 10:02:25
1084,,,,2008-04-08 10:15:46,2008-04-08 10:16:47
1084,,,2008-04-08 10:19:50,,
1084,,,2008-04-08 10:35:43,,
1084,,,2008-04-08 10:40:49,,
1084,,,,2008-04-08 10:51:06,2008-04-08 10:51:39
1121,2008-04-08 12:30:55,2008-04-08 13:41:40,,,
1121,,,2008-04-08 12:30:55,,
1121,,,,2008-04-08 12:55:15,2008-04-08 12:56:52
1121,,,2008-04-08 13:18:16,,
1121,,,2008-04-08 13:26:09,,
1121,,,2008-04-08 13:41:40,,
1226,2008-04-08 13:44:30,2008-04-08 16:01:04,,,
1226,,,2008-04-08 13:44:30,,
1226,,,2008-04-08 14:21:53,,
1226,,,,2008-04-08 14:28:12,2008-04-08 14:28:17
1226,,,,2008-04-08 15:15:49,2008-04-08 15:17:23
1226,,,2008-04-08 16:01:04,,
1165,2008-03-31 08:12:39,2008-03-31 10:03:46,,,
1165,,,2008-03-31 08:12:39,,
1165,,,,2008-03-31 08:38:19,2008-03-31 08:38:37
1165,,,,2008-03-31 10:03:43,2008-03-31 10:03:46
1216,2008-03-31 10:06:22,2008-03-31 10:19:52,,,
1216,,,2008-03-31 10:06:22,,
1216,,,2008-03-31 10:19:52,,
1085,2008-04-08 08:23:19,2008-04-08 08:36:36,,,
1085,,,2008-04-08 08:23:19,,
1085,,,2008-04-08 08:36:36,,
1142,2008-04-08 08:37:04,2008-04-08 08:46:04,,,
1142,,,2008-04-08 08:37:04,,
1142,,,2008-04-08 08:46:04,,
1176,2008-04-08 08:58:27,2008-04-08 09:13:00,,,
1176,,,2008-04-08 08:58:27,,
1176,,,2008-04-08 09:13:00,,
1211,2008-04-08 09:29:16,2008-04-08 12:09:24,,,
1211,,,2008-04-08 09:29:16,,
1211,,,,2008-04-08 10:01:06,2008-04-08 10:01:28
1211,,,2008-04-08 10:51:00,,
1211,,,2008-04-08 11:34:53,,
1211,,,2008-04-08 11:52:42,,
1211,,,2008-04-08 12:09:24,,
